name,aliases
Leonardo SpA,"Leonardo S.p.A.,Leonardo DRS,Leonardo"
Dassault Systèmes,"Dassault Systemes,3DS"
Airbus,"Airbus SE,Airbus Defence,Airbus Group"
Thales,"Thales Group,Thales SA"
Rheinmetall,"Rheinmetall AG,Rheinmetall group"
Indra,"Indra Sistemas,Indra SA"
MBDA,"MBDA Systems,MBDA SpA,MBDA UK"
Hensoldt,"HENSOLDT AG"
Safran,"Safran SA,Safran Group"
Naval Group,"Naval Group SA"
Czechoslovak Group,"CSG,CSGM a.s.,Czechoslovak Group a.s."
Thyssenkrupp,"ThyssenKrupp AG,thyssenkrupp"
Diehl,"Diehl Defence,Diehl Group"
Fincantieri,"Fincantieri SpA"
Navantia,"Navantia SA"
Saab,"Saab AB,Saab Group"
KNDS France,"KNDS,Nexter,Krauss-Maffei Wegmann"
Polska Grupa Zbrojeniowa,"PGZ,Polish Armaments Group"
Patria Oyj,"Patria,Patria Group"
Fabbrica d'Armi Pietro Beretta,"Beretta,Pietro Beretta"
Hellenic Defense Systems SA,"Ελληνικά Αμυντικά Συστήματα,HDS"
Arquus,"Arquus Defence"
Nordic Air Defence,""
Vegvisir,""
Optix JSC,""
FDCL Defence B.V.,""
Aliter Technologies a.s.,""
WB Group,"WB electronics,WB Electronics SA"
Destinus NL BV,"Destinus"
Mydefence A/S,"MyDefence"
DeltaQuad,""
TEKEVER UAS,"TEKEVER"
Explosia a.s.,""
Alta,""
Ares,""
Alfariver defense SL,""
UAB nexdef,"nexdef"
Helsing,"Helsing GmbH"
Defsecintel,""
Frankenburg Technologies,""
Milrem AS,"Milrem Robotics"
Quantum Systems GmbH,"Quantum Systems"
Terma A/S,"Terma"
DOK-ING,""
S-Tech Ventures a.s.,""
Delian Alliance Industries,""
Instalaza,""
UAB RSI Europe,"RSI Europe"
SKY JOKER s.r.o.,""
Guardiaris D.O.O,"Guardiaris"
ARX Robotics GmbH,"ARX Robotics"
AIR6 Systems,""
Colt CZ Group SE,"CZG,Colt CZ"
John Cockerill Defense,"John Cockerill"
FN Browning Group,"FN Herstal,Fabrique Nationale"
Delair,""
Origin Robotics SIA,""
Shark Robotics,""
Unmanned Defense Systems,""
Hypersonica GmbH,""
Orqa,""
Elwave,""
Avio S.P.A,"Avio SpA"
Sensus Septima,"SensusQ"
Liebherr-Aerospace Lindenberg GmbH,"Liebherr-Aerospace"
GMV Aerospace and Defence SAU,"GMV"
Industrieanlagen-Betriebsgesellschaft mbH,"IABG"
IVECO Defence Vehicles SpA,"IVECO Defence,Iveco"
Sybilla Technologies Sp. z o.o.,"Sybilla Technologies"
Aktyvus Photonics UAB,""
INTRACOM DEFENSE S.A.,"INTRACOM Defence"
Aqualung,""
MTU Aero Engines,"MTU"
Renk Group,"RENK AG"
OHB,"OHB SE,OHB System"
Heckler & Koch,"H&K,Heckler and Koch"
Damen Shipyards group,"Damen Shipyards,Damen Group"
Critical Software,""
Junghans Microtec GmbH,""
Roxel France,""
SOTIRIA Technology,""
NESTAI Oy,""
Communication Equipment Factory,""
PZL-Świdnik SA,"PZL Swidnik,PZL-Świdnik"
THEON INTERNATIONAL PLC,"Theon International"
ESCRIBANO MECHANICAL AND ENGINEERING,"Escribano"
Ecliptic Defence and Space,""
Czech Precision Forge,""
Anarkylabs,""
Skyeton Holding AS,"Skyeton"
Tecnobit,"Grupo Oesía,Oesia"
Norsea Denmark,""
ArianeGroup,"Ariane Group,ArianeGroup holding"
AFTS,""
MESKO S.A.,"MESKO"
Weibel Scientific A/S,"Weibel"
Stark Defence,"SKD,Stark defense"
Dynamit Nobel Defence GmbH,"Dynamit Nobel Defence"
Pro Patria Electronics Ltd.,""
System Engineering Solutions 37 AB,""
Dassault Aviation,"Dassault"
KNDS Ammo Italy,""
KNDS Deutschland GmbH,"KNDS Deutschland"
MTG,""
Dolphin skyline s.r.o,"Dolphin skyline"
Teijin Holdings Europe,""
GomSpace,""
TIM S.p.A,"TIM SpA"
Life Rescue Systems,""
Wojskowe Zakłady Lotnicze nr 2 S.A.,"WZL-2,WZL nr 2"
Geo Sat Lda,""
Grupo Oesía,"Oesia Group"
Fundacion Tecnologica Advantx,"Advantx"
TomTom International bv,"TomTom"
LemonTree Family Office,""
CAE Hungary Kft.,"CAE Hungary"
Promethee Earth Intelligence,""
Rade Tecnologías,"Rade Tecnologias"
PASQAL SAS,"PASQAL"
Finnish Operations Center oy,""
X Reality Factory,""
U-space Ascent,""
Lumina SIA,""
VoxelSensors,""
Marble Imaging,""
FERNRIDE GmbH,"Fernride"
UAB LUNA ROBOTICS,"Luna Robotics"
Samel 90,""
ATMOS Space Cargo GmbH,"ATMOS Space Cargo"
secunet Security Networks AG,"secunet"
TBS Ltd.,""
Rocket Factory Augsburg AG,"RFA,Rocket Factory Augsburg"
Aubert & Duval,""
Skynopy,""
Telespazio France,""
INTEGRASYS,""
Officine Meccaniche Aeronautiche S.p.A.,"OMA"
Hybrid Propulsion for Space,""
Stam S.r.l,"Stam Srl"
Orbotix Industries,""
Inpraise Systems s.r.o,"Inpraise"
TwinPath,""
CiTD Engineering and Technologies,""
Neuraspace,""
4iG Plc,"4iG"
FABENTECH,""
Logiicdev GmbH,""
RAYMETRICS SA,""
Embraer Portugal S.A.,"Embraer"
FUTURECE UAB,""
Edison SpA,"Edison S.p.A"
FEV Europe GmbH,"FEV"
Sweetch Energy,""
Sener Aeroespacial S.A.,"Sener"
Blockincrement,""
LUXUAV,""
Arctial Group Oy,""
IONION,""
Eutelsat,""
DWS Group GmbH & Co. KGaA,"DWS Group"
LTW Intralogistics GmbH,""
